,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saskylakh,100,RU,1581150795,94,71.92,114.08,-7.26,10.78
1,Atuona,0,PF,1581150796,76,-9.8,-139.03,80.96,19.28
2,Rikitea,100,PF,1581150798,78,-23.12,-134.97,78.15,15.5
3,Te Anau,49,NZ,1581150799,64,-45.42,167.72,45.01,2.01
4,Carnarvon,100,AU,1581150800,74,-24.87,113.63,84.2,16.11
5,Chipinge,100,ZW,1581150802,66,-20.19,32.62,79.66,3.11
6,Bronnoysund,93,NO,1581150803,100,65.46,12.2,33.8,4.7
7,Sakakah,12,SA,1581150804,28,29.97,40.21,57.2,23.04
8,Kapaa,1,US,1581150806,93,22.08,-159.32,64.99,6.93
9,Puerto Ayora,40,EC,1581150807,87,-0.74,-90.35,77.32,9.84
10,Bluff,75,NZ,1581150808,66,-46.6,168.33,51.01,14.0
11,Mataura,100,NZ,1581150810,66,-46.19,168.86,51.01,14.0
12,Salto,2,UY,1581150566,89,-31.38,-57.97,73.99,8.99
13,Sambava,0,MG,1581150812,42,-14.27,50.17,90.9,4.9
14,Union de San Antonio,0,MX,1581150814,46,21.1,-101.97,52.43,2.93
15,Muzhi,0,RU,1581150815,85,65.37,64.67,3.36,6.87
16,Kupang,40,ID,1581150816,83,-10.17,123.58,84.2,13.87
17,George Town,20,MY,1581150817,55,5.41,100.34,89.6,10.29
18,Chokurdakh,0,RU,1581150819,94,70.63,147.92,-34.24,3.0
19,Torbay,90,CA,1581150820,87,47.67,-52.73,46.0,31.09
20,Port Elizabeth,40,ZA,1581150571,78,-33.92,25.57,73.4,10.29
21,Carman,90,CA,1581150823,72,49.5,-98.0,14.0,3.36
22,Ushuaia,89,AR,1581150824,93,-54.8,-68.3,48.2,5.82
23,Grand Gaube,40,MU,1581150825,66,-20.01,57.66,86.0,9.17
24,Khatanga,0,RU,1581150827,93,71.97,102.5,-5.69,9.62
25,Hammerfest,75,NO,1581150828,93,70.66,23.68,39.2,35.57
26,Caravelas,100,BR,1581150830,81,-17.71,-39.25,78.19,7.02
27,Haemeenlinna,90,FI,1581150831,90,61.0,24.46,32.0,4.7
28,Barcelos,75,PT,1581150832,100,41.54,-8.62,53.6,3.36
29,Tura,11,IN,1581150833,38,25.52,90.22,78.01,10.2
30,Mulege,0,MX,1581150835,52,26.88,-111.98,59.11,0.34
31,Avarua,45,CK,1581150836,88,-21.21,-159.78,77.0,17.58
32,Salalah,0,OM,1581150837,54,17.02,54.09,78.8,10.29
33,Kjollefjord,100,NO,1581150839,96,70.95,27.35,38.21,24.65
34,Ponta do Sol,20,PT,1581150840,72,32.67,-17.1,62.6,2.24
35,Hilo,20,US,1581150841,82,19.73,-155.09,64.4,5.82
36,Altamira,100,BR,1581150843,99,-3.2,-52.21,72.14,2.35
37,Shintomi,20,JP,1581150844,40,32.08,131.47,53.6,19.46
38,Punta Arenas,0,CL,1581150845,70,-53.15,-70.92,46.4,3.36
